QNO,ANS
1,3
2,3
3,2
4,3
5,2
6,3
7,3
8,2
9,2
10,1
11,2
12,3
13,3
14,3
15,4
16,4
17,2
18,2
19,2
20,2
21,4
22,3
23,3
24,2
25,2
26,4
27,4
28,3
29,1
30,4
31,3
32,2
33,4
34,2
35,4
36,4
37,4
38,4
39,2
40,4
41,2
42,1
43,1
44,3
45,2
46,3
47,1
48,1
49,4
50,3
51,2
52,3
53,4
54,4
55,4
56,3
57,1
58,2
59,3
60,4
61,3
62,4
63,2
64,4
65,3
66,4
67,4
68,1
69,3
70,4
71,2
72,3
73,2
74,2
75,3
76,3
77,3
78,3
79,2
80,3
81,4
82,2
83,3
84,2
85,1
86,4
87,2
88,4
89,1
90,3
91,3
92,4
93,2
94,1
95,1
96,2
97,3
98,3
99,2
100,4
101,4
102,3
103,4
104,3
105,2
106,2
107,3
108,2
109,4
110,4
111,2
112,1
113,4
114,4
115,3
116,2
117,1
118,3
119,2
120,2
121,4
122,1
123,2
124,3
125,2
126,3
127,4
128,3
129,2
130,3
131,1
132,1
133,1
134,4
135,3
136,3
137,3
138,2
139,3
140,3
141,1
142,2
143,3
144,1
145,4
146,3
147,2
148,1
149,2
150,2
151,3
152,2
153,4
154,2
155,1
156,3
157,2
158,1
159,4
160,2
161,3
162,1
163,4
164,2
165,4
166,4
167,2
168,3
169,4
170,4
171,4
172,2
173,4
174,3
175,2
176,1
177,4
178,1
179,3
180,2
